race,AG14D,AG14R,AG14Turnout
WVAP,0.4161 (0.412-0.4199),0.5839 (0.5801-0.588),0.5193 (0.516-0.5225)
BVAP,0.9305 (0.9176-0.9421),0.0695 (0.0579-0.0824),0.509 (0.4801-0.5392)
HVAP,0.6772 (0.5921-0.7682),0.3228 (0.2318-0.4079),0.1521 (0.128-0.1809)
OVAP,0.7754 (0.7411-0.8136),0.2246 (0.1864-0.2589),0.4392 (0.3986-0.4824)
