race,AG18D,AG18R,AG18Turnout
WVAP,0.4508 (0.4474-0.4545),0.5492 (0.5455-0.5526),0.5881 (0.5847-0.5914)
BVAP,0.9402 (0.9299-0.9504),0.0598 (0.0496-0.0701),0.4893 (0.4612-0.5149)
HVAP,0.7655 (0.7041-0.8179),0.2345 (0.1821-0.2959),0.2285 (0.1989-0.2591)
OVAP,0.8526 (0.8262-0.8744),0.1474 (0.1256-0.1738),0.6021 (0.5616-0.6425)
