race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.6886 (0.6586-0.7169),0.3114 (0.2831-0.3414),0.2702 (0.2524-0.2879)
OVAP,0.9822 (0.977-0.9867),0.0178 (0.0133-0.023),0.3199 (0.3124-0.3272)
