race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.8269 (0.8007-0.8528),0.1731 (0.1472-0.1993),0.3171 (0.2919-0.3402)
BVAP,0.9801 (0.9695-0.9875),0.0199 (0.0125-0.0305),0.2075 (0.1972-0.2183)
HVAP,0.4161 (0.1576-0.6389),0.5839 (0.3611-0.8424),0.1271 (0.0725-0.1969)
OVAP,0.5444 (0.3659-0.7488),0.4556 (0.2512-0.6341),0.1843 (0.1119-0.2815)
