race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.8993 (0.848-0.9389),0.1007 (0.0611-0.152),0.041 (0.0345-0.0484)
OVAP,0.7694 (0.7581-0.7805),0.2306 (0.2195-0.2419),0.0731 (0.0703-0.0759)
