race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.7878 (0.7613-0.8134),0.2122 (0.1866-0.2387),0.2894 (0.2684-0.3096)
BVAP,0.9919 (0.9879-0.9949),0.0081 (0.0051-0.0121),0.3329 (0.3248-0.3412)
HVAP,0.3932 (0.1527-0.6594),0.6068 (0.3406-0.8473),0.1065 (0.054-0.168)
OVAP,0.4863 (0.2965-0.6459),0.5137 (0.3541-0.7035),0.2373 (0.1603-0.3462)
