race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.4141 (0.369-0.4564),0.5859 (0.5436-0.631),0.2528 (0.2341-0.2723)
OVAP,0.9345 (0.9187-0.9484),0.0655 (0.0516-0.0813),0.1963 (0.1884-0.2045)
