race,AG14D,AG14R,AG14Turnout
WVAP,0.688 (0.6505-0.7245),0.312 (0.2755-0.3495),0.2366 (0.2172-0.2563)
BVAP,0.9776 (0.9674-0.9855),0.0224 (0.0145-0.0326),0.1944 (0.1856-0.2037)
HVAP,0.386 (0.1992-0.5804),0.614 (0.4196-0.8008),0.1084 (0.0622-0.1655)
OVAP,0.5211 (0.3153-0.7362),0.4789 (0.2638-0.6847),0.1526 (0.0791-0.2411)
