race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.6156 (0.5837-0.645),0.3844 (0.355-0.4163),0.3411 (0.32-0.362)
OVAP,0.962 (0.9495-0.972),0.038 (0.028-0.0505),0.2554 (0.2443-0.2668)
