race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.7331 (0.7037-0.7611),0.2669 (0.2389-0.2963),0.3358 (0.3145-0.3579)
OVAP,0.9613 (0.9479-0.9724),0.0387 (0.0276-0.0521),0.2032 (0.1935-0.2129)
