race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.5125 (0.4717-0.555),0.4875 (0.445-0.5283),0.334 (0.3108-0.3579)
OVAP,0.7897 (0.7685-0.8098),0.2103 (0.1902-0.2315),0.2063 (0.1976-0.2152)
