race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.6547 (0.6201-0.6901),0.3453 (0.3099-0.3799),0.2497 (0.2317-0.2682)
OVAP,0.9489 (0.9354-0.96),0.0511 (0.04-0.0646),0.1938 (0.1861-0.202)
