race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.6787 (0.6317-0.7274),0.0636 (0.041-0.0934),0.2577 (0.2133-0.3034),0.1013 (0.0921-0.111)
OVAP,0.389 (0.3696-0.4078),0.2442 (0.2307-0.2574),0.3668 (0.3498-0.3854),0.095 (0.0917-0.0984)
