race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.1409 (0.1077-0.1775),0.268 (0.2309-0.3072),0.5911 (0.5476-0.6365),0.1092 (0.0998-0.1189)
OVAP,0.6861 (0.6664-0.7053),0.1418 (0.1273-0.1568),0.1721 (0.1552-0.1906),0.098 (0.0945-0.1016)
