race,AG18D,AG18R,AG18Turnout
WVAP,0.7789 (0.7435-0.8135),0.2211 (0.1865-0.2565),0.3293 (0.3028-0.3557)
BVAP,0.9711 (0.9574-0.9818),0.0289 (0.0182-0.0426),0.2092 (0.1986-0.2197)
HVAP,0.3882 (0.1565-0.6094),0.6118 (0.3906-0.8435),0.1431 (0.0791-0.2237)
OVAP,0.3808 (0.1903-0.567),0.6192 (0.433-0.8097),0.3032 (0.2062-0.4111)
