race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.6428 (0.6123-0.6712),0.3572 (0.3288-0.3877),0.3351 (0.3134-0.3581)
OVAP,0.9773 (0.9671-0.9853),0.0227 (0.0147-0.0329),0.2637 (0.2522-0.2753)
