race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4063 (0.3729-0.4399),0.1297 (0.1051-0.1562),0.1615 (0.1381-0.1864),0.0828 (0.0704-0.0964),0.2198 (0.1922-0.2475),0.1341 (0.1258-0.1429)
OVAP,0.4758 (0.4564-0.4959),0.2822 (0.2651-0.2995),0.0551 (0.0453-0.0654),0.0121 (0.008-0.0175),0.1748 (0.1605-0.1894),0.085 (0.0819-0.0881)
