race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.7427 (0.7174-0.7667),0.2573 (0.2333-0.2826),0.3223 (0.3013-0.3437)
OVAP,0.9749 (0.9641-0.9833),0.0251 (0.0167-0.0359),0.2007 (0.1915-0.2104)
