race,AG18D,AG18R,AG18Turnout
WVAP,0.6907 (0.6588-0.7207),0.3093 (0.2793-0.3412),0.3412 (0.3188-0.364)
OVAP,0.951 (0.9369-0.963),0.049 (0.037-0.0631),0.2053 (0.1957-0.215)
