race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.815 (0.7628-0.8603),0.185 (0.1397-0.2372),0.1773 (0.1619-0.1943)
OVAP,0.2581 (0.2379-0.2792),0.7419 (0.7208-0.7621),0.1747 (0.1681-0.1815)
