race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.827 (0.7964-0.8549),0.173 (0.1451-0.2036),0.3268 (0.3014-0.3514)
BVAP,0.9757 (0.9638-0.9845),0.0243 (0.0155-0.0362),0.2086 (0.198-0.2196)
HVAP,0.4212 (0.1643-0.7179),0.5788 (0.2821-0.8357),0.1191 (0.0613-0.1917)
OVAP,0.358 (0.1783-0.5325),0.642 (0.4675-0.8217),0.26 (0.1716-0.3558)
