race,AG14D,AG14R,AG14Turnout
WVAP,0.6038 (0.5694-0.637),0.3962 (0.363-0.4306),0.2389 (0.2211-0.2561)
OVAP,0.9701 (0.9587-0.9794),0.0299 (0.0206-0.0413),0.1862 (0.1781-0.1943)
