race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.5966 (0.5684-0.6236),0.4034 (0.3764-0.4316),0.3414 (0.3223-0.3616)
OVAP,0.9925 (0.9888-0.9954),0.0075 (0.0046-0.0112),0.3837 (0.3746-0.3925)
