race,AG14D,AG14R,AG14None
WVAP,0.2206 (0.1826-0.259),0.2313 (0.2226-0.2375),0.5482 (0.5095-0.5872)
OVAP,0.157 (0.0972-0.2174),0.0179 (0.0075-0.0336),0.8252 (0.7634-0.8846)
