race,GOV14D,GOV14R,GOV14None
WVAP,0.1677 (0.1287-0.2063),0.2983 (0.2871-0.3057),0.5341 (0.4949-0.5746)
OVAP,0.1829 (0.1208-0.2481),0.0196 (0.0079-0.0389),0.7974 (0.7304-0.8612)
