race,SEN16D,SEN16R,SEN16None
WVAP,0.2061 (0.1619-0.2527),0.2554 (0.2413-0.2641),0.5385 (0.4912-0.5842)
OVAP,0.2718 (0.1963-0.3448),0.0232 (0.0093-0.047),0.705 (0.6308-0.7821)
