race,AG18D,AG18R,AG18None
WVAP,0.241 (0.1949-0.2866),0.2192 (0.2072-0.2273),0.5397 (0.4952-0.5853)
OVAP,0.2968 (0.2231-0.3729),0.022 (0.0086-0.043),0.6812 (0.6063-0.7545)
