race,SEN18D,SEN18R,SEN18None
WVAP,0.2575 (0.2136-0.301),0.1794 (0.1672-0.1871),0.5631 (0.5191-0.6076)
OVAP,0.2821 (0.2099-0.3547),0.0219 (0.009-0.0426),0.696 (0.6222-0.7677)
