race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0609 (0.0502-0.0714),0.0012 (0.0007-0.0021),0.9379 (0.9273-0.9485)
OVAP,0.0499 (0.0334-0.0672),0.0092 (0.0077-0.0105),0.9409 (0.9236-0.9577)
