race,COMP14D,COMP14R,COMP14None
WVAP,0.2557 (0.2219-0.2857),0.2001 (0.182-0.214),0.5441 (0.5125-0.5816)
BVAP,0.142 (0.0588-0.2271),0.024 (0.0088-0.0475),0.8339 (0.7478-0.9181)
HVAP,0.2427 (0.0916-0.4343),0.064 (0.0219-0.1306),0.6933 (0.4941-0.856)
OVAP,0.1557 (0.072-0.2605),0.064 (0.0217-0.1293),0.7803 (0.6694-0.878)
