race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.1377 (0.1216-0.1529),0.0177 (0.0083-0.0274),0.8447 (0.8274-0.8632)
OVAP,0.0373 (0.0151-0.0618),0.1102 (0.0927-0.1279),0.8525 (0.822-0.8794)
