race,COMP18D,COMP18R,COMP18None
WVAP,0.303 (0.2585-0.3437),0.178 (0.1655-0.1861),0.5191 (0.4788-0.5636)
OVAP,0.2468 (0.18-0.321),0.0248 (0.011-0.0468),0.7284 (0.655-0.7927)
