race,AG14D,AG14R,AG14None
WVAP,0.2022 (0.168-0.2328),0.2125 (0.1941-0.2251),0.5854 (0.5526-0.6226)
BVAP,0.1893 (0.109-0.2745),0.0224 (0.0078-0.0472),0.7883 (0.6996-0.869)
HVAP,0.2281 (0.1047-0.3961),0.0566 (0.0132-0.1167),0.7153 (0.5433-0.8442)
OVAP,0.1601 (0.0603-0.2797),0.0647 (0.0211-0.1323),0.7751 (0.6539-0.8801)
