race,SEN12D,SEN12R,SEN12None
WVAP,0.268 (0.2277-0.3059),0.23 (0.2216-0.2357),0.502 (0.4641-0.5416)
OVAP,0.2431 (0.1808-0.3084),0.0154 (0.0066-0.0301),0.7415 (0.6768-0.8028)
