race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0584 (0.0472-0.0679),0.0009 (0.0005-0.0014),0.9408 (0.9312-0.9518)
BVAP,0.0564 (0.0216-0.0958),0.0047 (0.0022-0.0082),0.939 (0.8995-0.9742)
HVAP,0.1151 (0.0482-0.1939),0.0488 (0.0347-0.0611),0.8361 (0.7569-0.9068)
OVAP,0.0317 (0.0086-0.0649),0.0042 (0.0021-0.0072),0.9641 (0.931-0.9873)
