race,PRES16D,PRES16R,PRES16None
WVAP,0.2075 (0.1704-0.2473),0.1867 (0.1639-0.2054),0.6058 (0.5639-0.6493)
BVAP,0.2966 (0.1899-0.4073),0.0299 (0.0106-0.0597),0.6735 (0.5637-0.7804)
HVAP,0.2928 (0.1047-0.5232),0.082 (0.0268-0.1596),0.6252 (0.3848-0.8243)
OVAP,0.3077 (0.1662-0.4433),0.0845 (0.025-0.171),0.6078 (0.4543-0.7611)
