race,PRES16D,PRES16R,PRES16None
WVAP,0.2251 (0.1807-0.2706),0.2137 (0.2016-0.2211),0.5612 (0.5155-0.6065)
OVAP,0.275 (0.2023-0.3478),0.0206 (0.0085-0.0416),0.7044 (0.6324-0.7774)
