race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0417 (0.031-0.052),0.0233 (0.0208-0.025),0.0267 (0.0223-0.03),0.9084 (0.898-0.9193)
OVAP,0.0661 (0.0486-0.0856),0.005 (0.0023-0.0095),0.0088 (0.0036-0.0166),0.92 (0.9002-0.9379)
