race,GOV18D,GOV18R,GOV18None
WVAP,0.0688 (0.0436-0.0999),0.3682 (0.3478-0.3816),0.563 (0.5312-0.5938)
OVAP,0.3338 (0.2794-0.38),0.0296 (0.0107-0.06),0.6365 (0.5845-0.691)
