race,PRES12D,PRES12R,PRES12None
WVAP,0.3323 (0.288-0.3764),0.3161 (0.3054-0.3231),0.3516 (0.3068-0.3968)
OVAP,0.2543 (0.1817-0.3265),0.019 (0.0079-0.0381),0.7266 (0.6537-0.7997)
