race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0429 (0.0348-0.0518),0.0089 (0.0068-0.0102),0.0171 (0.0136-0.0201),0.0056 (0.0035-0.0071),0.0211 (0.0161-0.0264),0.9043 (0.8939-0.914)
OVAP,0.0579 (0.0427-0.0725),0.0034 (0.0014-0.0073),0.0076 (0.0029-0.0133),0.004 (0.0016-0.0079),0.0212 (0.0125-0.0297),0.9059 (0.8894-0.9235)
