race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0666 (0.0587-0.0731),0.0041 (0.0018-0.0071),0.0233 (0.0173-0.0297),0.906 (0.8956-0.9162)
OVAP,0.0172 (0.0078-0.0293),0.0235 (0.0183-0.0278),0.0281 (0.0175-0.0385),0.9312 (0.9145-0.9477)
