race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0615 (0.0551-0.0675),0.0033 (0.0016-0.0057),0.0208 (0.0151-0.0264),0.9143 (0.9059-0.9235)
BVAP,0.0255 (0.0101-0.0459),0.0187 (0.0071-0.0337),0.0267 (0.0111-0.0461),0.9291 (0.8996-0.9541)
HVAP,0.0456 (0.0114-0.0879),0.0744 (0.029-0.1145),0.0629 (0.0186-0.1125),0.8171 (0.7478-0.8877)
OVAP,0.0177 (0.0052-0.0375),0.0174 (0.0082-0.0283),0.0289 (0.0104-0.0526),0.9361 (0.902-0.9625)
