,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
267,Allegany,1650,Allegany Precinct 10-000,1628,5,5,38,21,12,1650,1,0.9866666666666667,0.0030303030303030303,0.0030303030303030303,0.007272727272727273,1591,0.02303030303030303,0.012727272727272728,0.9642424242424242
268,Allegany,1273,Allegany Precinct 31-000,1251,4,3,41,29,15,1273,1,0.9827179890023566,0.003142183817753339,0.002356637863315004,0.01178318931657502,1203,0.03220738413197172,0.022780832678711706,0.9450117831893166
273,Allegany,1685,Allegany Precinct 18-000,1660,3,7,50,27,15,1685,1,0.9851632047477745,0.0017804154302670622,0.004154302670623145,0.008902077151335312,1608,0.02967359050445104,0.016023738872403562,0.9543026706231454
274,Allegany,4960,Allegany Precinct 26-000,3677,968,114,126,78,201,4960,1,0.7413306451612903,0.19516129032258064,0.022983870967741935,0.0405241935483871,4756,0.025403225806451612,0.015725806451612902,0.9588709677419355
275,Allegany,1016,Allegany Precinct 11-000,971,17,12,71,31,16,1016,1,0.9557086614173228,0.01673228346456693,0.011811023622047244,0.015748031496062992,914,0.06988188976377953,0.03051181102362205,0.8996062992125984
276,Allegany,2829,Allegany Precinct 12-000,2623,113,38,127,74,55,2829,1,0.9271827500883705,0.039943442912689996,0.01343230823612584,0.019441498762813716,2628,0.044892188052315304,0.026157652880876636,0.9289501590668081
277,Allegany,1572,Allegany Precinct 24-000,1544,8,7,58,30,13,1572,1,0.9821882951653944,0.005089058524173028,0.004452926208651399,0.00826972010178117,1484,0.03689567430025445,0.019083969465648856,0.9440203562340967
278,Allegany,1653,Allegany Precinct 07-002,1584,18,15,92,43,36,1653,1,0.9582577132486388,0.010889292196007259,0.009074410163339383,0.021778584392014518,1518,0.05565638233514821,0.02601330913490623,0.9183303085299456
279,Allegany,1346,Allegany Precinct 29-003,1304,12,7,95,41,23,1346,1,0.9687964338781575,0.008915304606240713,0.005200594353640416,0.017087667161961365,1210,0.07057949479940565,0.030460624071322436,0.8989598811292719
280,Allegany,1884,Allegany Precinct 13-000,1845,10,8,59,37,21,1884,1,0.9792993630573248,0.005307855626326964,0.004246284501061571,0.011146496815286623,1788,0.03131634819532909,0.019639065817409766,0.9490445859872612
281,Allegany,3275,Allegany Precinct 07-001,2017,1213,19,96,48,26,3275,1,0.6158778625954199,0.370381679389313,0.005801526717557252,0.007938931297709924,3131,0.02931297709923664,0.01465648854961832,0.956030534351145
