,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,22,11,320,649,49,1719,1,0.9522978475858057,0.012798138452588714,0.006399069226294357,0.028504944735311226,750,0.18615474112856312,0.3775450843513671,0.4363001745200698
219,Allegany,3235,Allegany Precinct 06-006,1942,1234,25,247,492,34,3235,1,0.6003091190108192,0.3814528593508501,0.0077279752704791345,0.010510046367851623,2496,0.07635239567233384,0.15208655332302937,0.7715610510046368
220,Allegany,1207,Allegany Precinct 06-005,1034,57,22,248,307,94,1207,1,0.8566694283347142,0.04722452361226181,0.018227009113504555,0.07787903893951947,652,0.20546810273405136,0.2543496271748136,0.5401822700911351
221,Allegany,800,Allegany Precinct 06-003,740,38,6,164,157,16,800,1,0.925,0.0475,0.0075,0.02,479,0.205,0.19625,0.59875
222,Allegany,1902,Allegany Precinct 29-001,1833,19,15,291,764,35,1902,1,0.9637223974763407,0.009989484752891693,0.007886435331230283,0.01840168243953733,847,0.1529968454258675,0.40168243953732913,0.44532071503680337
223,Allegany,1522,Allegany Precinct 06-001,1409,71,15,284,329,27,1522,1,0.9257555847568988,0.04664914586070959,0.00985545335085414,0.017739816031537452,909,0.18659658344283836,0.2161629434954008,0.5972404730617609
224,Allegany,1679,Allegany Precinct 20-000,1648,4,11,151,623,16,1679,1,0.9815366289458011,0.0023823704586063135,0.006551518761167362,0.009529481834425254,905,0.08993448481238833,0.3710541989279333,0.5390113162596784
225,Allegany,928,Allegany Precinct 04-005,911,9,1,166,220,7,928,1,0.9816810344827587,0.009698275862068966,0.0010775862068965517,0.007543103448275862,542,0.1788793103448276,0.23706896551724138,0.584051724137931
226,Allegany,1457,Allegany Precinct 04-003,1352,61,12,247,279,32,1457,1,0.9279341111873713,0.041866849691146193,0.008236101578586136,0.02196293754289636,931,0.1695264241592313,0.19148936170212766,0.638984214138641
227,Allegany,1118,Allegany Precinct 04-002,951,120,10,171,161,37,1118,1,0.8506261180679785,0.1073345259391771,0.008944543828264758,0.03309481216457961,786,0.15295169946332737,0.1440071556350626,0.7030411449016101
228,Allegany,1603,Allegany Precinct 04-008,1511,65,6,267,371,21,1603,1,0.9426076107298814,0.040548970679975045,0.0037429819089207735,0.013100436681222707,965,0.16656269494697443,0.2314410480349345,0.6019962570180911
229,Allegany,1425,Allegany Precinct 04-004,1355,36,10,260,428,24,1425,1,0.9508771929824561,0.02526315789473684,0.007017543859649123,0.016842105263157894,737,0.1824561403508772,0.3003508771929825,0.5171929824561403
230,Allegany,856,Allegany Precinct 14-000,766,52,19,144,123,19,856,1,0.8948598130841121,0.06074766355140187,0.02219626168224299,0.02219626168224299,589,0.16822429906542055,0.14369158878504673,0.6880841121495327
231,Allegany,1491,Allegany Precinct 05-004,1387,66,10,236,303,28,1491,1,0.9302481556002683,0.04426559356136821,0.00670690811535882,0.018779342723004695,952,0.15828303152246814,0.20321931589537223,0.6384976525821596
232,Allegany,2358,Allegany Precinct 23-000,2120,171,17,364,551,50,2358,1,0.899067005937235,0.07251908396946564,0.00720949957591179,0.021204410517387615,1443,0.15436810856658184,0.23367260390161154,0.6119592875318066
233,Allegany,624,Allegany Precinct 05-006,619,3,0,101,202,2,624,1,0.9919871794871795,0.004807692307692308,0.0,0.003205128205128205,321,0.16185897435897437,0.32371794871794873,0.5144230769230769
234,Allegany,2552,Allegany Precinct 22-001,2173,297,35,333,500,47,2552,1,0.8514890282131662,0.11637931034482758,0.01371473354231975,0.01841692789968652,1719,0.1304858934169279,0.19592476489028213,0.67358934169279
235,Allegany,3185,Allegany Precinct 16-000,1973,833,346,212,629,33,3185,1,0.6194662480376766,0.26153846153846155,0.10863422291993721,0.010361067503924647,2344,0.06656200941915227,0.19748822605965463,0.7359497645211931
236,Allegany,1346,Allegany Precinct 34-000,1324,4,6,236,565,12,1346,1,0.9836552748885586,0.0029717682020802376,0.004457652303120356,0.008915304606240713,545,0.17533432392273401,0.4197622585438336,0.4049034175334324
237,Allegany,956,Allegany Precinct 21-000,934,3,4,125,346,15,956,1,0.9769874476987448,0.0031380753138075313,0.0041841004184100415,0.015690376569037656,485,0.1307531380753138,0.3619246861924686,0.5073221757322176
238,Allegany,944,Allegany Precinct 02-000,924,4,8,117,318,8,944,1,0.9788135593220338,0.00423728813559322,0.00847457627118644,0.00847457627118644,509,0.1239406779661017,0.336864406779661,0.5391949152542372
239,Allegany,852,Allegany Precinct 03-000,839,2,3,86,314,8,852,1,0.9847417840375586,0.002347417840375587,0.0035211267605633804,0.009389671361502348,452,0.10093896713615023,0.3685446009389671,0.5305164319248826
240,Allegany,746,Allegany Precinct 01-000,734,4,3,66,351,5,746,1,0.9839142091152815,0.005361930294906166,0.004021447721179625,0.006702412868632708,329,0.08847184986595175,0.47050938337801607,0.4410187667560322
265,Allegany,2806,Allegany Precinct 08-000,2755,17,13,294,956,21,2806,1,0.9818246614397719,0.0060584461867426945,0.004632929436920884,0.007483962936564505,1556,0.10477548111190306,0.3406985032074127,0.5545260156806843
266,Allegany,1114,Allegany Precinct 09-000,1103,0,1,90,428,10,1114,1,0.9901256732495511,0.0,0.0008976660682226212,0.008976660682226212,596,0.0807899461400359,0.38420107719928187,0.5350089766606823
