,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
228,Allegany,1603,Allegany Precinct 04-008,1511,65,6,25,31,25,21,1603,1,0.9426076107298814,0.040548970679975045,0.0037429819089207735,0.013100436681222707,1522,0.015595757953836557,0.01933873986275733,0.015595757953836557,0.9494697442295695
229,Allegany,1425,Allegany Precinct 04-004,1355,36,10,44,33,33,24,1425,1,0.9508771929824561,0.02526315789473684,0.007017543859649123,0.016842105263157894,1315,0.030877192982456142,0.023157894736842106,0.023157894736842106,0.9228070175438596
230,Allegany,856,Allegany Precinct 14-000,766,52,19,16,8,14,19,856,1,0.8948598130841121,0.06074766355140187,0.02219626168224299,0.02219626168224299,818,0.018691588785046728,0.009345794392523364,0.016355140186915886,0.955607476635514
231,Allegany,1491,Allegany Precinct 05-004,1387,66,10,14,27,23,28,1491,1,0.9302481556002683,0.04426559356136821,0.00670690811535882,0.018779342723004695,1427,0.009389671361502348,0.018108651911468814,0.015425888665325285,0.9570757880617036
232,Allegany,2358,Allegany Precinct 23-000,2120,171,17,42,37,25,50,2358,1,0.899067005937235,0.07251908396946564,0.00720949957591179,0.021204410517387615,2254,0.017811704834605598,0.015691263782866838,0.010602205258693808,0.9558948261238338
233,Allegany,624,Allegany Precinct 05-006,619,3,0,10,10,7,2,624,1,0.9919871794871795,0.004807692307692308,0.0,0.003205128205128205,597,0.016025641025641024,0.016025641025641024,0.011217948717948718,0.9567307692307693
234,Allegany,2552,Allegany Precinct 22-001,2173,297,35,30,16,25,47,2552,1,0.8514890282131662,0.11637931034482758,0.01371473354231975,0.01841692789968652,2481,0.011755485893416929,0.006269592476489028,0.009796238244514107,0.9721786833855799
235,Allegany,3185,Allegany Precinct 16-000,1973,833,346,16,24,15,33,3185,1,0.6194662480376766,0.26153846153846155,0.10863422291993721,0.010361067503924647,3130,0.005023547880690738,0.0075353218210361065,0.004709576138147566,0.9827315541601256
236,Allegany,1346,Allegany Precinct 34-000,1324,4,6,30,34,18,12,1346,1,0.9836552748885586,0.0029717682020802376,0.004457652303120356,0.008915304606240713,1264,0.022288261515601784,0.02526002971768202,0.01337295690936107,0.9390787518573551
237,Allegany,956,Allegany Precinct 21-000,934,3,4,15,16,16,15,956,1,0.9769874476987448,0.0031380753138075313,0.0041841004184100415,0.015690376569037656,909,0.015690376569037656,0.016736401673640166,0.016736401673640166,0.950836820083682
238,Allegany,944,Allegany Precinct 02-000,924,4,8,6,13,9,8,944,1,0.9788135593220338,0.00423728813559322,0.00847457627118644,0.00847457627118644,916,0.006355932203389831,0.013771186440677966,0.009533898305084746,0.9703389830508474
239,Allegany,852,Allegany Precinct 03-000,839,2,3,6,10,7,8,852,1,0.9847417840375586,0.002347417840375587,0.0035211267605633804,0.009389671361502348,829,0.007042253521126761,0.011737089201877934,0.008215962441314555,0.9730046948356808
240,Allegany,746,Allegany Precinct 01-000,734,4,3,11,11,9,5,746,1,0.9839142091152815,0.005361930294906166,0.004021447721179625,0.006702412868632708,715,0.014745308310991957,0.014745308310991957,0.012064343163538873,0.9584450402144772
265,Allegany,2806,Allegany Precinct 08-000,2755,17,13,42,37,23,21,2806,1,0.9818246614397719,0.0060584461867426945,0.004632929436920884,0.007483962936564505,2704,0.01496792587312901,0.013186029935851747,0.00819672131147541,0.9636493228795439
266,Allegany,1114,Allegany Precinct 09-000,1103,0,1,5,7,5,10,1114,1,0.9901256732495511,0.0,0.0008976660682226212,0.008976660682226212,1097,0.004488330341113106,0.0062836624775583485,0.004488330341113106,0.9847396768402155
267,Allegany,1650,Allegany Precinct 10-000,1628,5,5,14,12,5,12,1650,1,0.9866666666666667,0.0030303030303030303,0.0030303030303030303,0.007272727272727273,1619,0.008484848484848486,0.007272727272727273,0.0030303030303030303,0.9812121212121212
268,Allegany,1273,Allegany Precinct 31-000,1251,4,3,14,16,9,15,1273,1,0.9827179890023566,0.003142183817753339,0.002356637863315004,0.01178318931657502,1234,0.010997643362136685,0.012568735271013355,0.007069913589945012,0.969363707776905
273,Allegany,1685,Allegany Precinct 18-000,1660,3,7,20,29,16,15,1685,1,0.9851632047477745,0.0017804154302670622,0.004154302670623145,0.008902077151335312,1620,0.011869436201780416,0.017210682492581602,0.009495548961424332,0.9614243323442137
274,Allegany,4960,Allegany Precinct 26-000,3677,968,114,66,15,51,201,4960,1,0.7413306451612903,0.19516129032258064,0.022983870967741935,0.0405241935483871,4828,0.013306451612903225,0.0030241935483870967,0.01028225806451613,0.9733870967741935
275,Allegany,1016,Allegany Precinct 11-000,971,17,12,35,18,17,16,1016,1,0.9557086614173228,0.01673228346456693,0.011811023622047244,0.015748031496062992,946,0.0344488188976378,0.017716535433070866,0.01673228346456693,0.9311023622047244
276,Allegany,2829,Allegany Precinct 12-000,2623,113,38,43,26,40,55,2829,1,0.9271827500883705,0.039943442912689996,0.01343230823612584,0.019441498762813716,2720,0.01519971721456345,0.009190526687875575,0.014139271827500884,0.9614704842700601
277,Allegany,1572,Allegany Precinct 24-000,1544,8,7,16,18,14,13,1572,1,0.9821882951653944,0.005089058524173028,0.004452926208651399,0.00826972010178117,1524,0.010178117048346057,0.011450381679389313,0.008905852417302799,0.9694656488549618
278,Allegany,1653,Allegany Precinct 07-002,1584,18,15,27,32,18,36,1653,1,0.9582577132486388,0.010889292196007259,0.009074410163339383,0.021778584392014518,1576,0.016333938294010888,0.019358741681790685,0.010889292196007259,0.9534180278281912
279,Allegany,1346,Allegany Precinct 29-003,1304,12,7,31,28,10,23,1346,1,0.9687964338781575,0.008915304606240713,0.005200594353640416,0.017087667161961365,1277,0.023031203566121844,0.020802377414561663,0.007429420505200594,0.9487369985141159
280,Allegany,1884,Allegany Precinct 13-000,1845,10,8,16,18,23,21,1884,1,0.9792993630573248,0.005307855626326964,0.004246284501061571,0.011146496815286623,1827,0.008492569002123142,0.009554140127388535,0.012208067940552018,0.9697452229299363
281,Allegany,3275,Allegany Precinct 07-001,2017,1213,19,29,33,17,26,3275,1,0.6158778625954199,0.370381679389313,0.005801526717557252,0.007938931297709924,3196,0.008854961832061069,0.010076335877862596,0.005190839694656489,0.9758778625954199
