race,AG14D,AG14R,AG14Turnout
WVAP,0.3031 (0.2807-0.3255),0.6969 (0.6745-0.7193),0.2726 (0.2597-0.2839)
OVAP,0.5304 (0.2006-0.8326),0.4696 (0.1674-0.7994),0.142 (0.0659-0.2318)
