race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.447 (0.4247-0.4708),0.553 (0.5292-0.5753),0.2823 (0.2701-0.2941)
BVAP,0.4915 (0.1722-0.7807),0.5085 (0.2193-0.8278),0.1344 (0.0568-0.2292)
HVAP,0.4829 (0.1959-0.7714),0.5171 (0.2286-0.8041),0.5077 (0.2865-0.7523)
OVAP,0.5934 (0.3084-0.8555),0.4066 (0.1445-0.6916),0.6291 (0.3432-0.8964)
