race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.6718 (0.6258-0.7193),0.3282 (0.2807-0.3742),0.0597 (0.0537-0.0653)
OVAP,0.5331 (0.2528-0.7992),0.4669 (0.2008-0.7472),0.1038 (0.0498-0.1739)
