race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.3966 (0.3351-0.4535),0.0848 (0.0504-0.1154),0.5186 (0.462-0.579),0.0358 (0.0312-0.0398)
OVAP,0.3588 (0.1403-0.6109),0.2792 (0.1163-0.4912),0.3619 (0.1279-0.5887),0.1014 (0.0563-0.1625)
