race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9812 (0.967-0.9919),0.0188 (0.0081-0.033),0.0354 (0.0304-0.0399)
OVAP,0.7967 (0.6041-0.9229),0.2033 (0.0771-0.3959),0.0742 (0.0339-0.1298)
