race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3142 (0.2941-0.3321),0.6858 (0.6679-0.7059),0.3805 (0.364-0.3935)
OVAP,0.5368 (0.2398-0.8278),0.4632 (0.1722-0.7602),0.1575 (0.0752-0.2662)
