race,GOV14D,GOV14R,GOV14Turnout
WVAP,0.2088 (0.189-0.2266),0.7912 (0.7734-0.811),0.3054 (0.2914-0.3173)
OVAP,0.5063 (0.2095-0.8188),0.4937 (0.1812-0.7905),0.1423 (0.0652-0.2403)
