race,AG18D,AG18R,AG18Turnout
WVAP,0.2677 (0.246-0.2888),0.7323 (0.7112-0.754),0.3166 (0.3013-0.3292)
OVAP,0.5185 (0.2115-0.8252),0.4815 (0.1748-0.7885),0.1526 (0.0701-0.2554)
