race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.3155 (0.2966-0.3326),0.6845 (0.6674-0.7034),0.4255 (0.408-0.4397)
OVAP,0.565 (0.2522-0.8782),0.435 (0.1218-0.7478),0.1602 (0.0667-0.2752)
