race,AG14D,AG14R,AG14Turnout
WVAP,0.2916 (0.2666-0.3162),0.7084 (0.6838-0.7334),0.2559 (0.2441-0.267)
BVAP,0.4841 (0.2-0.786),0.5159 (0.214-0.8),0.137 (0.0653-0.2334)
HVAP,0.4185 (0.1276-0.7594),0.5815 (0.2406-0.8724),0.4976 (0.2627-0.7775)
OVAP,0.6134 (0.2899-0.8722),0.3866 (0.1278-0.7101),0.6451 (0.3495-0.8903)
