race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3704 (0.3504-0.3901),0.6296 (0.6099-0.6496),0.3475 (0.3329-0.3594)
OVAP,0.5622 (0.2638-0.8458),0.4378 (0.1542-0.7362),0.1606 (0.082-0.2604)
