race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.3389 (0.3159-0.3601),0.6611 (0.6399-0.6841),0.3071 (0.2928-0.3191)
OVAP,0.559 (0.2607-0.839),0.441 (0.161-0.7393),0.1519 (0.0725-0.2525)
