race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.1284 (0.1102-0.1444),0.8716 (0.8556-0.8898),0.3214 (0.3091-0.3322)
OVAP,0.5204 (0.2462-0.8085),0.4796 (0.1915-0.7538),0.1482 (0.0764-0.2367)
