race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.471 (0.4477-0.4956),0.529 (0.5044-0.5523),0.291 (0.2789-0.3035)
BVAP,0.5575 (0.2471-0.8308),0.4425 (0.1692-0.7529),0.1537 (0.0743-0.2484)
HVAP,0.4526 (0.1661-0.7902),0.5474 (0.2098-0.8339),0.4982 (0.258-0.7505)
OVAP,0.6178 (0.2897-0.8801),0.3822 (0.1199-0.7103),0.6288 (0.3717-0.8665)
