race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.5326 (0.4691-0.5976),0.1091 (0.0731-0.1439),0.1696 (0.1164-0.2196),0.0439 (0.0187-0.0749),0.1448 (0.0992-0.1913),0.0283 (0.0245-0.0318)
OVAP,0.2424 (0.0865-0.4153),0.1664 (0.0654-0.2945),0.2151 (0.079-0.3742),0.1603 (0.0637-0.2774),0.2158 (0.0854-0.3563),0.1272 (0.0814-0.1805)
