race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4759 (0.4524-0.4988),0.5241 (0.5012-0.5476),0.309 (0.2939-0.3215)
OVAP,0.5398 (0.2179-0.8347),0.4602 (0.1653-0.7821),0.1435 (0.0651-0.2433)
