race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4493 (0.4264-0.4704),0.5507 (0.5296-0.5736),0.2987 (0.2854-0.3102)
OVAP,0.5554 (0.2569-0.8429),0.4446 (0.1571-0.7431),0.1413 (0.0672-0.2362)
