race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.3681 (0.3087-0.4282),0.3523 (0.2985-0.4106),0.2796 (0.219-0.3365),0.0346 (0.0299-0.0389)
OVAP,0.3632 (0.1316-0.6027),0.2628 (0.0811-0.4912),0.374 (0.1375-0.6177),0.1055 (0.0551-0.1753)
